"2016
rank","City","State[5]","2016
estimate","2010
Census","Change","2014 land area","2014 land area","2010 population density","2010 population density","Location"
170,"Hollywood","Florida","151,998","140,768","7000797766537849510<U+2660>+7.98%","27.4 sq mi","71.0 km2","5,144/sq mi","1,986/km2","26°01'52<U+2033>N 80°09'53<U+2033>W<U+FEFF> / <U+FEFF>26.0311°N 80.1646°W<U+FEFF> / 26.0311; -80.1646<U+FEFF> (Hollywood)"
171,"Kansas City[27]","Kansas","151,709","145,786","7000406280438450880<U+2660>+4.06%","124.8 sq mi","323.2 km2","1,168/sq mi","451/km2","39°07'21<U+2033>N 94°44'30<U+2033>W<U+FEFF> / <U+FEFF>39.1225°N 94.7418°W<U+FEFF> / 39.1225; -94.7418<U+FEFF> (Kansas City)"
172,"Escondido","California","151,613","143,911","7000535191889431660<U+2660>+5.35%","36.8 sq mi","95.3 km2","3,909/sq mi","1,509/km2","33°08'01<U+2033>N 117°04'24<U+2033>W<U+FEFF> / <U+FEFF>33.1336°N 117.0732°W<U+FEFF> / 33.1336; -117.0732<U+FEFF> (Escondido)"
173,"Clarksville","Tennessee","150,287","132,929","7001130580986842600<U+2660>+13.06%","97.6 sq mi","252.8 km2","1,362/sq mi","526/km2","36°33'59<U+2033>N 87°20'43<U+2033>W<U+FEFF> / <U+FEFF>36.5664°N 87.3452°W<U+FEFF> / 36.5664; -87.3452<U+FEFF> (Clarksville)"
174,"Joliet","Illinois","148,262","147,433","6999562289311076889<U+2660>+0.56%","62.1 sq mi","160.8 km2","2,374/sq mi","917/km2","41°31'05<U+2033>N 88°09'30<U+2033>W<U+FEFF> / <U+FEFF>41.5181°N 88.1584°W<U+FEFF> / 41.5181; -88.1584<U+FEFF> (Joliet)"
175,"Rockford","Illinois","147,651","152,871","2999658535628078580<U+2660>-3.41%","61.1 sq mi","158.2 km2","2,503/sq mi","966/km2","42°15'48<U+2033>N 89°03'46<U+2033>W<U+FEFF> / <U+FEFF>42.2634°N 89.0628°W<U+FEFF> / 42.2634; -89.0628<U+FEFF> (Rockford)"
176,"Torrance","California","147,195","145,438","7000120807491852200<U+2660>+1.21%","20.5 sq mi","53.1 km2","7,102/sq mi","2,742/km2","33°50'06<U+2033>N 118°20'29<U+2033>W<U+FEFF> / <U+FEFF>33.8350°N 118.3414°W<U+FEFF> / 33.8350; -118.3414<U+FEFF> (Torrance)"
177,"Naperville","Illinois","147,122","141,853","7000371440857789400<U+2660>+3.71%","38.8 sq mi","100.5 km2","3,659/sq mi","1,413/km2","41°44'57<U+2033>N 88°09'43<U+2033>W<U+FEFF> / <U+FEFF>41.7492°N 88.1620°W<U+FEFF> / 41.7492; -88.1620<U+FEFF> (Naperville)"
178,"Paterson","New Jersey","147,000","146,199","6999547883364455299<U+2660>+0.55%","8.4 sq mi","21.8 km2","17,346/sq mi","6,697/km2","40°54'53<U+2033>N 74°09'46<U+2033>W<U+FEFF> / <U+FEFF>40.9147°N 74.1628°W<U+FEFF> / 40.9147; -74.1628<U+FEFF> (Paterson)"
179,"Savannah","Georgia","146,763","136,286","7000768751008907740<U+2660>+7.69%","103.2 sq mi","267.3 km2","1,321/sq mi","510/km2","32°00'09<U+2033>N 81°09'13<U+2033>W<U+FEFF> / <U+FEFF>32.0025°N 81.1536°W<U+FEFF> / 32.0025; -81.1536<U+FEFF> (Savannah)"
180,"Bridgeport","Connecticut","145,936","144,229","7000118353451802340<U+2660>+1.18%","16.0 sq mi","41.4 km2","9,029/sq mi","3,486/km2","41°11'15<U+2033>N 73°11'45<U+2033>W<U+FEFF> / <U+FEFF>41.1874°N 73.1957°W<U+FEFF> / 41.1874; -73.1957<U+FEFF> (Bridgeport)"
181,"Mesquite","Texas","143,736","139,824","7000279780295228290<U+2660>+2.80%","46.0 sq mi","119.1 km2","3,038/sq mi","1,173/km2","32°45'50<U+2033>N 96°35'33<U+2033>W<U+FEFF> / <U+FEFF>32.7639°N 96.5924°W<U+FEFF> / 32.7639; -96.5924<U+FEFF> (Mesquite)"
182,"Killeen","Texas","143,400","127,921","7001121004369884540<U+2660>+12.10%","53.6 sq mi","138.8 km2","2,387/sq mi","922/km2","31°04'40<U+2033>N 97°43'55<U+2033>W<U+FEFF> / <U+FEFF>31.0777°N 97.7320°W<U+FEFF> / 31.0777; -97.7320<U+FEFF> (Killeen)"
183,"Syracuse","New York","143,378","145,170","2999876558517600049<U+2660>-1.23%","25.0 sq mi","64.7 km2","5,797/sq mi","2,238/km2","43°02'28<U+2033>N 76°08'37<U+2033>W<U+FEFF> / <U+FEFF>43.0410°N 76.1436°W<U+FEFF> / 43.0410; -76.1436<U+FEFF> (Syracuse)"
184,"McAllen","Texas","142,212","129,877","7000949744758502279<U+2660>+9.50%","48.3 sq mi","125.1 km2","2,687/sq mi","1,037/km2","26°13'07<U+2033>N 98°14'46<U+2033>W<U+FEFF> / <U+FEFF>26.2185°N 98.2461°W<U+FEFF> / 26.2185; -98.2461<U+FEFF> (McAllen)"
185,"Pasadena","California","142,059","137,122","7000360044340076720<U+2660>+3.60%","23.0 sq mi","59.6 km2","5,970/sq mi","2,310/km2","34°09'38<U+2033>N 118°08'23<U+2033>W<U+FEFF> / <U+FEFF>34.1606°N 118.1396°W<U+FEFF> / 34.1606; -118.1396<U+FEFF> (Pasadena)"
186,"Bellevue","Washington","141,400","122,363","7001155578075071710<U+2660>+15.56%","32.0 sq mi","82.9 km2","3,828/sq mi","1,478/km2","47°35'52<U+2033>N 122°09'23<U+2033>W<U+FEFF> / <U+FEFF>47.5978°N 122.1565°W<U+FEFF> / 47.5978; -122.1565<U+FEFF> (Bellevue)"
187,"Fullerton","California","140,721","135,161","7000411361265453790<U+2660>+4.11%","22.4 sq mi","58.0 km2","6,047/sq mi","2,335/km2","33°53'09<U+2033>N 117°55'41<U+2033>W<U+FEFF> / <U+FEFF>33.8857°N 117.9280°W<U+FEFF> / 33.8857; -117.9280<U+FEFF> (Fullerton)"
188,"Orange","California","140,504","136,416","7000299671592775040<U+2660>+3.00%","24.8 sq mi","64.2 km2","5,501/sq mi","2,124/km2","33°48'17<U+2033>N 117°49'30<U+2033>W<U+FEFF> / <U+FEFF>33.8048°N 117.8249°W<U+FEFF> / 33.8048; -117.8249<U+FEFF> (Orange)"
189,"Dayton","Ohio","140,489","141,527","3000266571042981200<U+2660>-0.73%","55.7 sq mi","144.3 km2","2,543/sq mi","982/km2","39°46'39<U+2033>N 84°11'59<U+2033>W<U+FEFF> / <U+FEFF>39.7774°N 84.1996°W<U+FEFF> / 39.7774; -84.1996<U+FEFF> (Dayton)"
190,"Miramar","Florida","138,449","122,041","7001134446620398060<U+2660>+13.44%","29.5 sq mi","76.4 km2","4,134/sq mi","1,596/km2","25°58'37<U+2033>N 80°20'09<U+2033>W<U+FEFF> / <U+FEFF>25.9770°N 80.3358°W<U+FEFF> / 25.9770; -80.3358<U+FEFF> (Miramar)"
191,"Thornton","Colorado","136,703","118,772","7001150969925571680<U+2660>+15.10%","34.8 sq mi","90.1 km2","3,409/sq mi","1,316/km2","39°55'05<U+2033>N 104°56'43<U+2033>W<U+FEFF> / <U+FEFF>39.9180°N 104.9454°W<U+FEFF> / 39.9180; -104.9454<U+FEFF> (Thornton)"
192,"West Valley City","Utah","136,574","129,480","7000547883843064560<U+2660>+5.48%","35.6 sq mi","92.2 km2","3,642/sq mi","1,406/km2","40°41'19<U+2033>N 112°00'42<U+2033>W<U+FEFF> / <U+FEFF>40.6885°N 112.0118°W<U+FEFF> / 40.6885; -112.0118<U+FEFF> (West Valley City)"
193,"Olathe","Kansas","135,473","125,872","7000762758993263000<U+2660>+7.63%","59.7 sq mi","154.6 km2","2,110/sq mi","810/km2","38°53'03<U+2033>N 94°49'08<U+2033>W<U+FEFF> / <U+FEFF>38.8843°N 94.8188°W<U+FEFF> / 38.8843; -94.8188<U+FEFF> (Olathe)"
194,"Hampton[16]","Virginia","135,410","137,436","2999852585930906020<U+2660>-1.47%","51.4 sq mi","133.1 km2","2,673/sq mi","1,032/km2","37°02'53<U+2033>N 76°17'50<U+2033>W<U+FEFF> / <U+FEFF>37.0480°N 76.2971°W<U+FEFF> / 37.0480; -76.2971<U+FEFF> (Hampton)"
195,"Warren","Michigan","135,125","134,056","6999797427940562150<U+2660>+0.80%","34.4 sq mi","89.1 km2","3,899/sq mi","1,505/km2","42°29'34<U+2033>N 83°01'30<U+2033>W<U+FEFF> / <U+FEFF>42.4929°N 83.0250°W<U+FEFF> / 42.4929; -83.0250<U+FEFF> (Warren)"
196,"Midland","Texas","134,610","111,147","7001211098815082730<U+2660>+21.11%","72.1 sq mi","186.7 km2","1,542/sq mi","595/km2","32°01'48<U+2033>N 102°06'35<U+2033>W<U+FEFF> / <U+FEFF>32.0299°N 102.1097°W<U+FEFF> / 32.0299; -102.1097<U+FEFF> (Midland)"
197,"Waco","Texas","134,432","124,805","7000771363326789790<U+2660>+7.71%","89.0 sq mi","230.5 km2","1,403/sq mi","542/km2","31°33'36<U+2033>N 97°11'10<U+2033>W<U+FEFF> / <U+FEFF>31.5601°N 97.1860°W<U+FEFF> / 31.5601; -97.1860<U+FEFF> (Waco)"
198,"Charleston","South Carolina","134,385","120,083","7001119100955172670<U+2660>+11.91%","109.0 sq mi","282.3 km2","1,102/sq mi","425/km2","32°49'04<U+2033>N 79°57'32<U+2033>W<U+FEFF> / <U+FEFF>32.8179°N 79.9589°W<U+FEFF> / 32.8179; -79.9589<U+FEFF> (Charleston)"
199,"Columbia","South Carolina","134,309","129,272","7000389643542298410<U+2660>+3.90%","132.2 sq mi","342.4 km2","978/sq mi","378/km2","34°01'47<U+2033>N 80°53'48<U+2033>W<U+FEFF> / <U+FEFF>34.0298°N 80.8966°W<U+FEFF> / 34.0298; -80.8966<U+FEFF> (Columbia)"
200,"Denton","Texas","133,808","113,383","7001180141643809040<U+2660>+18.01%","88.0 sq mi","227.9 km2","1,289/sq mi","498/km2","33°12'54<U+2033>N 97°08'30<U+2033>W<U+FEFF> / <U+FEFF>33.2151°N 97.1417°W<U+FEFF> / 33.2151; -97.1417<U+FEFF> (Denton)"
201,"Carrollton","Texas","133,351","119,097","7001119683955095430<U+2660>+11.97%","36.3 sq mi","94.0 km2","3,281/sq mi","1,267/km2","32°59'18<U+2033>N 96°53'59<U+2033>W<U+FEFF> / <U+FEFF>32.9884°N 96.8998°W<U+FEFF> / 32.9884; -96.8998<U+FEFF> (Carrollton)"
202,"Surprise","Arizona","132,677","117,517","7001129002612387990<U+2660>+12.90%","105.7 sq mi","273.8 km2","1,111/sq mi","429/km2","33°40'14<U+2033>N 112°27'10<U+2033>W<U+FEFF> / <U+FEFF>33.6706°N 112.4527°W<U+FEFF> / 33.6706; -112.4527<U+FEFF> (Surprise)"
203,"Roseville","California","132,671","118,788","7001116872074620330<U+2660>+11.69%","36.2 sq mi","93.8 km2","3,279/sq mi","1,266/km2","38°45'57<U+2033>N 121°18'12<U+2033>W<U+FEFF> / <U+FEFF>38.7657°N 121.3032°W<U+FEFF> / 38.7657; -121.3032<U+FEFF> (Roseville)"
204,"Sterling Heights","Michigan","132,427","129,699","7000210333155999660<U+2660>+2.10%","36.5 sq mi","94.5 km2","3,553/sq mi","1,372/km2","42°34'52<U+2033>N 83°01'49<U+2033>W<U+FEFF> / <U+FEFF>42.5812°N 83.0303°W<U+FEFF> / 42.5812; -83.0303<U+FEFF> (Sterling Heights)"
205,"Murfreesboro","Tennessee","131,947","108,755","7001213249965518830<U+2660>+21.32%","55.3 sq mi","143.2 km2","1,965/sq mi","759/km2","35°51'08<U+2033>N 86°24'58<U+2033>W<U+FEFF> / <U+FEFF>35.8522°N 86.4161°W<U+FEFF> / 35.8522; -86.4161<U+FEFF> (Murfreesboro)"
206,"Gainesville","Florida","131,591","124,354","7000581967608601250<U+2660>+5.82%","61.3 sq mi","158.8 km2","2,028/sq mi","783/km2","29°40'44<U+2033>N 82°20'45<U+2033>W<U+FEFF> / <U+FEFF>29.6788°N 82.3459°W<U+FEFF> / 29.6788; -82.3459<U+FEFF> (Gainesville)"
207,"Cedar Rapids","Iowa","131,127","126,326","7000380048446083940<U+2660>+3.80%","70.8 sq mi","183.4 km2","1,784/sq mi","689/km2","41°58'01<U+2033>N 91°40'40<U+2033>W<U+FEFF> / <U+FEFF>41.9670°N 91.6778°W<U+FEFF> / 41.9670; -91.6778<U+FEFF> (Cedar Rapids)"
208,"Visalia","California","131,074","124,442","7000532939039874000<U+2660>+5.33%","36.2 sq mi","93.8 km2","3,433/sq mi","1,325/km2","36°19'38<U+2033>N 119°19'24<U+2033>W<U+FEFF> / <U+FEFF>36.3272°N 119.3234°W<U+FEFF> / 36.3272; -119.3234<U+FEFF> (Visalia)"
209,"Coral Springs","Florida","130,059","121,096","7000740156569994050<U+2660>+7.40%","23.8 sq mi","61.6 km2","5,090/sq mi","1,970/km2","26°16'15<U+2033>N 80°15'33<U+2033>W<U+FEFF> / <U+FEFF>26.2708°N 80.2593°W<U+FEFF> / 26.2708; -80.2593<U+FEFF> (Coral Springs)"
210,"New Haven","Connecticut","129,934","129,779","6999119433806702160<U+2660>+0.12%","18.7 sq mi","48.4 km2","6,948/sq mi","2,683/km2","41°18'39<U+2033>N 72°55'30<U+2033>W<U+FEFF> / <U+FEFF>41.3108°N 72.9250°W<U+FEFF> / 41.3108; -72.9250<U+FEFF> (New Haven)"
211,"Stamford","Connecticut","129,113","122,643","7000527547434423490<U+2660>+5.28%","37.6 sq mi","97.4 km2","3,258/sq mi","1,258/km2","41°04'48<U+2033>N 73°32'46<U+2033>W<U+FEFF> / <U+FEFF>41.0799°N 73.5460°W<U+FEFF> / 41.0799; -73.5460<U+FEFF> (Stamford)"
212,"Thousand Oaks","California","128,888","126,683","7000174056503240370<U+2660>+1.74%","55.0 sq mi","142.4 km2","2,302/sq mi","889/km2","34°11'36<U+2033>N 118°52'27<U+2033>W<U+FEFF> / <U+FEFF>34.1933°N 118.8742°W<U+FEFF> / 34.1933; -118.8742<U+FEFF> (Thousand Oaks)"
213,"Concord","California","128,726","122,067","7000545520083232980<U+2660>+5.46%","30.5 sq mi","79.0 km2","3,996/sq mi","1,543/km2","37°58'20<U+2033>N 122°00'06<U+2033>W<U+FEFF> / <U+FEFF>37.9722°N 122.0016°W<U+FEFF> / 37.9722; -122.0016<U+FEFF> (Concord)"
214,"Elizabeth","New Jersey","128,640","124,969","7000293752850706980<U+2660>+2.94%","12.3 sq mi","31.9 km2","10,144/sq mi","3,917/km2","40°39'59<U+2033>N 74°11'37<U+2033>W<U+FEFF> / <U+FEFF>40.6663°N 74.1935°W<U+FEFF> / 40.6663; -74.1935<U+FEFF> (Elizabeth)"
215,"Lafayette[28]","Louisiana","127,626","120,623","7000580569211510240<U+2660>+5.81%","49.2 sq mi","127.4 km2","2,450/sq mi","950/km2","30°12'42<U+2033>N 92°01'53<U+2033>W<U+FEFF> / <U+FEFF>30.2116°N 92.0314°W<U+FEFF> / 30.2116; -92.0314<U+FEFF> (Lafayette)"
216,"Kent","Washington","127,514","92,411","7001379857376286370<U+2660>+37.99%","28.6 sq mi","74.1 km2","3,228/sq mi","1,246/km2","47°23'07<U+2033>N 122°13'01<U+2033>W<U+FEFF> / <U+FEFF>47.3853°N 122.2169°W<U+FEFF> / 47.3853; -122.2169<U+FEFF> (Kent)"
217,"Topeka","Kansas","126,808","127,473","3000478320899327700<U+2660>-0.52%","60.2 sq mi","155.9 km2","2,119/sq mi","818/km2","39°02'10<U+2033>N 95°41'41<U+2033>W<U+FEFF> / <U+FEFF>39.0362°N 95.6948°W<U+FEFF> / 39.0362; -95.6948<U+FEFF> (Topeka)"
218,"Simi Valley","California","126,327","124,237","7000168226856733500<U+2660>+1.68%","41.5 sq mi","107.5 km2","2,995/sq mi","1,156/km2","34°16'01<U+2033>N 118°44'55<U+2033>W<U+FEFF> / <U+FEFF>34.2669°N 118.7485°W<U+FEFF> / 34.2669; -118.7485<U+FEFF> (Simi Valley)"
219,"Santa Clara","California","125,948","116,468","7000813957481883440<U+2660>+8.14%","18.4 sq mi","47.7 km2","6,327/sq mi","2,443/km2","37°21'53<U+2033>N 121°58'04<U+2033>W<U+FEFF> / <U+FEFF>37.3646°N 121.9679°W<U+FEFF> / 37.3646; -121.9679<U+FEFF> (Santa Clara)"
220,"Athens[29]","Georgia","123,371","115,452","7000685912760281330<U+2660>+6.86%","116.4 sq mi","301.5 km2","992/sq mi","383/km2","33°56'59<U+2033>N 83°22'12<U+2033>W<U+FEFF> / <U+FEFF>33.9496°N 83.3701°W<U+FEFF> / 33.9496; -83.3701<U+FEFF> (Athens)"
221,"Hartford","Connecticut","123,243","124,775","2999877218994189540<U+2660>-1.23%","17.4 sq mi","45.1 km2","7,179/sq mi","2,772/km2","41°45'58<U+2033>N 72°41'00<U+2033>W<U+FEFF> / <U+FEFF>41.7660°N 72.6833°W<U+FEFF> / 41.7660; -72.6833<U+FEFF> (Hartford)"
222,"Victorville","California","122,265","115,903","7000548907275911750<U+2660>+5.49%","73.2 sq mi","189.6 km2","1,584/sq mi","612/km2","34°31'40<U+2033>N 117°21'13<U+2033>W<U+FEFF> / <U+FEFF>34.5277°N 117.3536°W<U+FEFF> / 34.5277; -117.3536<U+FEFF> (Victorville)"
223,"Abilene","Texas","122,225","117,063","7000440959141658770<U+2660>+4.41%","106.8 sq mi","276.6 km2","1,096/sq mi","423/km2","32°27'16<U+2033>N 99°44'17<U+2033>W<U+FEFF> / <U+FEFF>32.4545°N 99.7381°W<U+FEFF> / 32.4545; -99.7381<U+FEFF> (Abilene)"
224,"Norman","Oklahoma","122,180","110,925","7001101464953797610<U+2660>+10.15%","178.8 sq mi","463.1 km2","621/sq mi","240/km2","35°13'N 97°26'W<U+FEFF> / <U+FEFF>35.22°N 97.44°W<U+FEFF> / 35.22; -97.44<U+FEFF> (Norman)"
225,"Vallejo","California","121,299","115,942","7000462041365510340<U+2660>+4.62%","30.7 sq mi","79.5 km2","3,780/sq mi","1,460/km2","38°06'28<U+2033>N 122°15'50<U+2033>W<U+FEFF> / <U+FEFF>38.1079°N 122.2639°W<U+FEFF> / 38.1079; -122.2639<U+FEFF> (Vallejo)"
226,"Berkeley","California","121,240","112,580","7000769230769230770<U+2660>+7.69%","10.5 sq mi","27.2 km2","10,752/sq mi","4,151/km2","37°52'00<U+2033>N 122°17'57<U+2033>W<U+FEFF> / <U+FEFF>37.8667°N 122.2991°W<U+FEFF> / 37.8667; -122.2991<U+FEFF> (Berkeley)"
227,"Round Rock","Texas","120,892","99,887","7001210287625016270<U+2660>+21.03%","34.1 sq mi","88.3 km2","2,928/sq mi","1,131/km2","30°31'25<U+2033>N 97°40'03<U+2033>W<U+FEFF> / <U+FEFF>30.5237°N 97.6674°W<U+FEFF> / 30.5237; -97.6674<U+FEFF> (Round Rock)"
228,"Ann Arbor","Michigan","120,782","113,934","7000601049730545760<U+2660>+6.01%","27.8 sq mi","72.0 km2","4,094/sq mi","1,581/km2","42°16'32<U+2033>N 83°43'53<U+2033>W<U+FEFF> / <U+FEFF>42.2756°N 83.7313°W<U+FEFF> / 42.2756; -83.7313<U+FEFF> (Ann Arbor)"
229,"Fargo","North Dakota","120,762","105,549","7001144132109257310<U+2660>+14.41%","48.8 sq mi","126.4 km2","2,162/sq mi","835/km2","46°51'55<U+2033>N 96°49'44<U+2033>W<U+FEFF> / <U+FEFF>46.8652°N 96.8290°W<U+FEFF> / 46.8652; -96.8290<U+FEFF> (Fargo)"
230,"Columbia","Missouri","120,612","108,500","7001111631336405530<U+2660>+11.16%","63.1 sq mi","163.4 km2","1,720/sq mi","660/km2","38°56'52<U+2033>N 92°19'34<U+2033>W<U+FEFF> / <U+FEFF>38.9479°N 92.3261°W<U+FEFF> / 38.9479; -92.3261<U+FEFF> (Columbia)"
231,"Allentown","Pennsylvania","120,443","118,032","7000204266639555370<U+2660>+2.04%","17.5 sq mi","45.3 km2","6,727/sq mi","2,597/km2","40°35'38<U+2033>N 75°28'42<U+2033>W<U+FEFF> / <U+FEFF>40.5940°N 75.4782°W<U+FEFF> / 40.5940; -75.4782<U+FEFF> (Allentown)"
232,"Evansville","Indiana","119,477","117,429","7000174403256435800<U+2660>+1.74%","44.2 sq mi","114.5 km2","2,660/sq mi","1,030/km2","37°59'16<U+2033>N 87°32'05<U+2033>W<U+FEFF> / <U+FEFF>37.9877°N 87.5347°W<U+FEFF> / 37.9877; -87.5347<U+FEFF> (Evansville)"
233,"Beaumont","Texas","118,299","118,296","5000000000000000000<U+2660>0.00%","82.8 sq mi","214.5 km2","1,429/sq mi","552/km2","30°05'03<U+2033>N 94°08'45<U+2033>W<U+FEFF> / <U+FEFF>30.0843°N 94.1458°W<U+FEFF> / 30.0843; -94.1458<U+FEFF> (Beaumont)"
234,"Odessa","Texas","117,871","99,940","7001179417650590350<U+2660>+17.94%","42.0 sq mi","108.8 km2","2,382/sq mi","920/km2","31°52'49<U+2033>N 102°20'36<U+2033>W<U+FEFF> / <U+FEFF>31.8804°N 102.3434°W<U+FEFF> / 31.8804; -102.3434<U+FEFF> (Odessa)"
235,"Wilmington","North Carolina","117,525","106,476","7001103769863631240<U+2660>+10.38%","51.5 sq mi","133.4 km2","2,068/sq mi","798/km2","34°12'33<U+2033>N 77°53'09<U+2033>W<U+FEFF> / <U+FEFF>34.2092°N 77.8858°W<U+FEFF> / 34.2092; -77.8858<U+FEFF> (Wilmington)"
236,"Arvada","Colorado","117,453","106,433","7001103539315813700<U+2660>+10.35%","35.1 sq mi","90.9 km2","3,029/sq mi","1,170/km2","39°48'35<U+2033>N 105°06'24<U+2033>W<U+FEFF> / <U+FEFF>39.8097°N 105.1066°W<U+FEFF> / 39.8097; -105.1066<U+FEFF> (Arvada)"
237,"Independence","Missouri","117,030","116,830","6999171188906958820<U+2660>+0.17%","77.6 sq mi","201.0 km2","1,506/sq mi","581/km2","39°05'07<U+2033>N 94°21'05<U+2033>W<U+FEFF> / <U+FEFF>39.0853°N 94.3513°W<U+FEFF> / 39.0853; -94.3513<U+FEFF> (Independence)"
238,"Provo","Utah","116,868","112,488","7000389374866652440<U+2660>+3.89%","41.7 sq mi","108.0 km2","2,699/sq mi","1,042/km2","40°14'43<U+2033>N 111°38'41<U+2033>W<U+FEFF> / <U+FEFF>40.2453°N 111.6448°W<U+FEFF> / 40.2453; -111.6448<U+FEFF> (Provo)"
239,"Lansing","Michigan","116,020","114,297","7000150747613673150<U+2660>+1.51%","36.0 sq mi","93.2 km2","3,171/sq mi","1,224/km2","42°42'35<U+2033>N 84°33'22<U+2033>W<U+FEFF> / <U+FEFF>42.7098°N 84.5562°W<U+FEFF> / 42.7098; -84.5562<U+FEFF> (Lansing)"
240,"El Monte","California","115,807","113,475","7000205507821105970<U+2660>+2.06%","9.6 sq mi","24.9 km2","11,867/sq mi","4,582/km2","34°04'29<U+2033>N 118°01'45<U+2033>W<U+FEFF> / <U+FEFF>34.0746°N 118.0291°W<U+FEFF> / 34.0746; -118.0291<U+FEFF> (El Monte)"
241,"Springfield","Illinois","115,715","116,250","3000539784946236550<U+2660>-0.46%","59.5 sq mi","154.1 km2","1,954/sq mi","754/km2","39°45'50<U+2033>N 89°40'15<U+2033>W<U+FEFF> / <U+FEFF>39.7639°N 89.6708°W<U+FEFF> / 39.7639; -89.6708<U+FEFF> (Springfield)"
242,"Fairfield","California","114,756","105,321","7000895832739909420<U+2660>+8.96%","37.4 sq mi","96.9 km2","2,817/sq mi","1,088/km2","38°15'24<U+2033>N 122°02'23<U+2033>W<U+FEFF> / <U+FEFF>38.2568°N 122.0397°W<U+FEFF> / 38.2568; -122.0397<U+FEFF> (Fairfield)"
243,"Clearwater","Florida","114,361","107,685","7000619956354181180<U+2660>+6.20%","25.6 sq mi","66.3 km2","4,213/sq mi","1,627/km2","27°58'46<U+2033>N 82°45'59<U+2033>W<U+FEFF> / <U+FEFF>27.9795°N 82.7663°W<U+FEFF> / 27.9795; -82.7663<U+FEFF> (Clearwater)"
244,"Peoria","Illinois","114,265","115,007","3000354821880407280<U+2660>-0.65%","48.0 sq mi","124.3 km2","2,396/sq mi","925/km2","40°45'08<U+2033>N 89°37'02<U+2033>W<U+FEFF> / <U+FEFF>40.7523°N 89.6171°W<U+FEFF> / 40.7523; -89.6171<U+FEFF> (Peoria)"
245,"Rochester","Minnesota","114,011","106,769","7000678286768631340<U+2660>+6.78%","54.6 sq mi","141.4 km2","1,956/sq mi","755/km2","44°00'55<U+2033>N 92°28'38<U+2033>W<U+FEFF> / <U+FEFF>44.0154°N 92.4772°W<U+FEFF> / 44.0154; -92.4772<U+FEFF> (Rochester)"
246,"Carlsbad","California","113,952","105,328","7000818775634209330<U+2660>+8.19%","37.7 sq mi","97.6 km2","2,792/sq mi","1,078/km2","33°07'26<U+2033>N 117°16'58<U+2033>W<U+FEFF> / <U+FEFF>33.1239°N 117.2828°W<U+FEFF> / 33.1239; -117.2828<U+FEFF> (Carlsbad)"
247,"Westminster","Colorado","113,875","106,114","7000731383229357110<U+2660>+7.31%","31.6 sq mi","81.8 km2","3,363/sq mi","1,298/km2","39°52'56<U+2033>N 105°03'52<U+2033>W<U+FEFF> / <U+FEFF>39.8822°N 105.0644°W<U+FEFF> / 39.8822; -105.0644<U+FEFF> (Westminster)"
248,"West Jordan","Utah","113,699","103,712","7000962955106448630<U+2660>+9.63%","32.5 sq mi","84.2 km2","3,195/sq mi","1,234/km2","40°36'08<U+2033>N 112°00'04<U+2033>W<U+FEFF> / <U+FEFF>40.6023°N 112.0010°W<U+FEFF> / 40.6023; -112.0010<U+FEFF> (West Jordan)"
249,"Pearland","Texas","113,570","91,252","7001244575461359750<U+2660>+24.46%","47.5 sq mi","123.0 km2","1,900/sq mi","730/km2","29°33'16<U+2033>N 95°17'45<U+2033>W<U+FEFF> / <U+FEFF>29.5544°N 95.2958°W<U+FEFF> / 29.5544; -95.2958<U+FEFF> (Pearland)"
250,"Richardson","Texas","113,347","99,223","7001142346028642550<U+2660>+14.23%","28.6 sq mi","74.1 km2","3,474/sq mi","1,341/km2","32°58'20<U+2033>N 96°42'29<U+2033>W<U+FEFF> / <U+FEFF>32.9723°N 96.7081°W<U+FEFF> / 32.9723; -96.7081<U+FEFF> (Richardson)"
251,"Downey","California","113,267","111,772","7000133754428658340<U+2660>+1.34%","12.4 sq mi","32.1 km2","9,008/sq mi","3,478/km2","33°56'18<U+2033>N 118°07'51<U+2033>W<U+FEFF> / <U+FEFF>33.9382°N 118.1309°W<U+FEFF> / 33.9382; -118.1309<U+FEFF> (Downey)"
252,"Miami Gardens","Florida","113,058","107,167","7000549702800302330<U+2660>+5.50%","18.2 sq mi","47.1 km2","5,878/sq mi","2,270/km2","25°56'56<U+2033>N 80°14'37<U+2033>W<U+FEFF> / <U+FEFF>25.9489°N 80.2436°W<U+FEFF> / 25.9489; -80.2436<U+FEFF> (Miami Gardens)"
253,"Temecula","California","113,054","100,097","7001129444438894270<U+2660>+12.94%","30.2 sq mi","78.2 km2","3,320/sq mi","1,280/km2","33°30'07<U+2033>N 117°07'29<U+2033>W<U+FEFF> / <U+FEFF>33.5019°N 117.1246°W<U+FEFF> / 33.5019; -117.1246<U+FEFF> (Temecula)"
254,"Costa Mesa","California","112,822","109,960","7000260276464168789<U+2660>+2.60%","15.7 sq mi","40.7 km2","7,025/sq mi","2,712/km2","33°39'57<U+2033>N 117°54'44<U+2033>W<U+FEFF> / <U+FEFF>33.6659°N 117.9123°W<U+FEFF> / 33.6659; -117.9123<U+FEFF> (Costa Mesa)"
